batter,b_called_strike,b_swinging_strike,poorlyweak_percent
605204,98,183,2.7
605244,51,51,8.1
605288,56,42,21.4
605346,6,15,22.2
605353,19,19,12.5
605361,27,16,3.4
605397,25,39,27.3
605400,79,12,35.7
605412,193,64,4.4
605421,155,118,4.9
605452,35,14,30.4
605483,34,19,15
605507,15,14,44.4
605540,56,41,22.2
605548,237,223,7.2
605612,155,175,5.2
606115,47,48,4.8
606132,319,149,5.9
606157,131,149,4
606192,286,378,2.7
606213,152,129,4.6
606299,80,51,4.3
606466,243,112,4.6
606988,58,62,7.1
606992,257,258,3
606993,22,20,0
607043,284,148,5.2
607054,267,142,3.1
607111,22,5,17.6
607200,39,16,39.3
607208,397,281,4.1
607231,13,7,50
607345,71,56,4.7
607461,165,77,4.4
607468,88,39,9.5
607536,27,27,47.6
607680,188,171,3.3
607732,316,168,4.5
608070,470,171,3.4
608324,308,89,2.7
608328,9,7,40
608331,48,34,22.2
608336,414,410,6.6
608348,295,155,1.3
608369,111,209,4.1
608384,9,8,16.7
608385,289,172,2
608422,36,18,8.7
608566,29,27,21.3
608577,126,99,1.7
608596,217,196,3.3
608597,11,14,0
608671,123,43,11.5
608686,158,144,5.9
608700,114,47,5.3
608701,136,72,5
609275,46,114,9.3
609280,85,66,6.3
613564,44,51,3.8
614173,67,121,9.1
614177,306,304,3.3
620443,317,193,2.4
621002,75,43,8.5
621005,8,5,0
621006,55,62,9.7
621011,59,50,4.9
621020,386,377,4.2
621028,394,102,7.4
621035,357,355,5.2
621043,509,230,3.8
621107,30,23,30
621111,100,46,34.4
621219,43,18,40
621311,130,115,3.3
621433,225,187,4.2
621438,161,122,4.3
621439,114,144,3.5
621446,152,191,2.9
621450,42,23,4.5
621453,240,138,3.3
621458,43,34,0
621466,178,197,3.9
621493,154,103,7.7
621500,38,40,9.1
621512,41,123,4.6
621532,20,17,5.9
621550,205,337,4.9
621559,13,15,0
621563,354,223,3.7
621566,373,300,3.9
621573,33,21,4.8
622072,64,21,31.3
622100,63,68,0
622110,261,83,4
622168,4,7,0
622268,36,34,6
622491,27,38,34.3
622503,9,7,20
622534,256,177,4.8
622569,74,26,1.6
622608,37,32,46.9
622666,16,10,10
622682,140,121,4.5
622694,12,9,45.5
622761,133,127,7.1
623205,39,45,2.3
623508,7,9,0
623520,199,146,5.9
623912,212,176,1.7
623993,260,234,2.6
624133,12,7,25
624413,317,282,4.3
624414,81,103,6.6
624415,227,120,4
624424,324,205,3
624428,399,139,3.7
624431,212,114,5.2
624503,87,128,1.4
624512,124,86,7.1
624513,225,152,6.5
624585,358,316,2.6
624641,174,177,5.3
628338,165,181,4.4
628450,154,160,4.8
628451,135,98,4.1
628711,42,35,23.4
630105,491,144,3.7
640444,28,22,24
640449,180,108,7.6
640457,361,269,2.5
640458,130,115,2.9
640461,128,125,0.7
640470,28,15,15.8
641154,20,32,27.8
641313,210,301,4.6
641343,206,156,4.4
641355,181,218,2.2
641432,183,73,3.5
641470,155,118,4.7
641487,520,191,4.5
641505,96,41,8.1
641531,319,328,2.9
641553,73,76,5.4
641561,22,30,15.8
641583,35,31,0
641584,198,132,7.5
641598,214,120,0.7
641645,140,39,1.8
641658,373,205,8.8
641680,164,123,4.7
641684,23,28,8.3
641771,23,15,33.3
641778,35,18,38.9
641786,95,97,1.1
641796,129,59,9.3
641816,34,27,23.3
641820,403,343,5.6
641829,98,88,5.7
641856,257,129,3.7
641857,323,340,2.3
641914,42,54,2.6
641924,28,48,4.8
641933,304,357,4.1
641943,27,25,7.7
642028,15,6,44.4
642082,48,50,7.5
642086,248,265,3.2
642092,21,14,16.7
642133,207,143,4.3
642162,165,158,5.3
642165,275,141,1.6
642180,118,75,15.6
642201,141,131,6.1
642203,19,15,33.3
642211,87,82,2.7
642221,36,33,21.3
642336,147,115,6.9
642350,23,42,3.4
642423,151,95,10.6
642547,47,29,9.1
642708,409,262,2.3
642715,309,354,4.1
642721,242,162,2
642727,202,136,5.4
642731,78,45,6.1
642736,62,49,9.4
642851,127,52,10
643217,267,242,3.2
643265,166,125,4.1
643269,46,36,10.5
643289,112,79,6.6
643376,111,100,7.1
643393,284,98,6.6
643396,482,162,5.8
643418,83,68,4.1
643446,137,155,4.3
643524,132,111,6.5
643565,132,134,6.4
644374,145,129,2.4
644433,13,8,0
645261,104,46,40
645277,228,369,2.6
645302,220,168,16.6
645801,59,30,2.7
646240,271,371,2.9
647304,129,98,3.7
647351,264,127,4.9
649557,181,137,3
649966,386,241,6.1
650331,61,84,4.5
650333,381,92,2.6
650391,93,141,2.5
650402,318,255,4.4
650489,201,270,7.4
650490,346,167,3.9
650559,129,110,3.4
650859,111,100,8.5
650968,27,28,4.7
656180,115,64,6.8
656185,50,14,12
656252,169,210,5.4
656305,454,391,3.6
656308,55,99,2.5
656364,25,28,6.3
656371,190,150,4.7
656403,63,51,7.1
656413,7,10,8.3
656427,35,6,28.6
656457,11,8,80
656467,37,25,16.7
656509,6,5,25
656514,12,12,5.9
656537,77,72,10.3
656541,155,195,2.4
656546,11,5,38.5
656548,15,6,0
656555,330,221,3.5
656577,88,164,3.4
656582,145,80,2.1
656605,45,14,18.8
656669,138,117,5.7
656716,151,85,3.6
656731,26,27,15.4
656775,448,244,5.2
656811,130,146,4.2
656821,11,17,0
656847,103,188,8.3
656849,21,10,55.6
656896,59,44,2.9
656941,343,235,2.9
656976,444,151,7.4
657006,5,2,22.2
657011,12,11,15.4
657041,245,94,1.2
657053,14,15,14.3
657061,78,62,5.9
657077,450,186,4
657108,69,59,4.5
657136,12,12,0
657193,44,37,4.3
657277,36,35,16.7
657434,38,33,5.6
657557,212,220,6.7
657656,264,196,5.3
657757,146,77,2.5
658069,114,164,3.4
658668,78,50,4.8
660162,460,311,2.5
660271,373,416,3.4
660294,185,133,1.3
660620,78,28,9.6
660623,17,32,17.6
660634,167,39,9.7
660644,15,11,5.6
660670,215,171,3.7
660688,51,20,2.5
660731,16,15,16.7
660821,142,145,3.3
660829,135,65,5.4
661269,14,22,38.5
661388,92,132,1.8
662139,171,154,8.3
663330,58,30,4.9
663457,99,49,4.8
663527,17,9,0
663538,105,58,5.6
663586,358,368,5.1
663611,171,31,3.8
663616,219,207,4.4
663624,276,400,3.4
663630,145,127,10.3
663647,305,136,2.9
663656,225,233,2.9
663662,83,69,1.5
663697,565,259,6.3
663728,55,117,4.5
663734,13,7,16.7
663743,29,11,4.3
663757,416,191,6.6
663765,21,12,18.2
663799,46,21,3.3
663837,64,33,5.8
663845,41,23,0
663853,23,18,4.8
663886,309,122,4.3
663897,74,37,10.7
663898,213,183,4.3
663905,12,14,0
663978,46,31,57.1
663993,451,283,2.3
664023,382,319,4.2
664034,336,230,3.6
664040,254,402,4.3
664056,295,186,6
664057,124,109,6.7
664058,479,98,7.9
664059,58,52,10.2
664062,15,13,20
664068,10,26,14.3
664141,52,14,16.7
664192,15,9,66.7
664238,339,172,6.8
664247,73,58,4.4
664314,14,18,14.3
664670,6,11,0
664702,571,145,4.2
664728,54,38,7.5
664731,26,13,0
664761,248,218,0.7
664774,259,144,5.1
664789,94,82,12
664850,62,34,6.5
664874,64,93,10.7
664901,150,80,9.7
664913,200,177,1
664983,41,52,13.5
665120,348,289,3.9
665155,86,81,3.8
665482,46,25,2.2
665487,218,383,2.7
665489,317,330,1.2
665506,37,51,20
665561,37,14,4.8
665742,519,182,3.1
665750,117,91,8.7
665861,25,27,0
665862,380,286,3.7
665926,95,142,8
666120,41,39,45.5
666129,10,4,0
666135,112,123,1.2
666137,19,20,0
666158,235,154,2.8
666160,21,30,5.6
666163,69,56,9.7
666176,77,91,4
666179,3,6,0
666182,270,337,3.6
666185,438,317,3.3
666198,147,128,8.3
666200,24,4,30
666205,7,16,20
666211,113,155,8.4
666213,34,19,3.8
666801,51,61,5.1
666915,281,353,3.1
666931,23,29,3.3
666969,327,464,3.3
666971,336,255,3.2
667670,130,130,2.5
668227,424,355,4.1
668663,61,49,5.8
668670,107,94,8.6
668678,45,16,52.2
668721,8,9,10
668731,280,263,4.4
668800,107,76,3.3
668804,304,291,3.8
668820,15,5,22.2
668942,462,230,4.3
669016,196,161,6.8
669060,27,6,26.7
669134,29,25,0
669203,76,24,20
669221,290,224,4.6
669222,52,39,1
669242,478,185,4.5
669256,389,234,6.2
669257,408,185,2.8
669288,38,68,0
669289,149,66,5.2
669374,108,195,5.1
669394,27,34,0
669432,34,39,27.8
669674,6,3,28.6
